4.539348 : Timeout waiting for response
4.539506 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.539540 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.539574 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.539597 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.539619 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.539642 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.539665 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
4.539688 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
4.539711 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
