2.994050 : Timeout waiting for response
2.994220 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.994254 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.994277 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.994299 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.994334 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.994379 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.994424 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
2.994458 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
4.671957 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
4.672013 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
