2.001710 : Timeout waiting for response
2.001893 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.001927 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.001961 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.002006 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.002040 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.002074 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.002097 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
2.002120 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
2.002142 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
2.002165 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
