3.458920 : Timeout waiting for response
3.459154 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.459188 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.459222 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.459244 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.459267 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.459290 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.459313 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
3.459335 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
3.459369 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
