3.569956 : Timeout waiting for response
3.570143 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.570177 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.570222 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.570256 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.570290 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.570336 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.570381 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
3.570415 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
5.211254 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
5.211321 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
