3.218497 : Timeout waiting for response
3.218678 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.218712 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.218746 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.218769 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.218792 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.218814 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.218837 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
3.218859 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
3.218882 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
3.218905 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
3.218928 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
