3.258129 : Timeout waiting for response
3.258317 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.258351 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.258385 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.258408 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.258430 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.258453 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.258476 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
3.258498 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
3.258521 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
