3.475248 : Timeout waiting for response
3.475429 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.475463 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.475497 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.475532 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.475566 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.475599 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.475633 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
3.475667 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
3.475702 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
3.475736 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
