2.938387 : Timeout waiting for response
2.938919 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.938953 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.938987 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.939021 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.939055 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.939089 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.939146 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
2.939168 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
2.939203 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
2.939248 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
