3.298977 : Timeout waiting for response
3.299159 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.299193 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.299215 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.299238 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.299261 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.299283 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.299306 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
3.299329 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
14.836483 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
14.836574 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
