3.626968 : Timeout waiting for response
3.627455 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.627490 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.627523 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.627557 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.627591 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.627625 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.627660 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
3.627693 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
3.627727 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
