3.146366 : Timeout waiting for response
3.146536 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.146570 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.146593 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.146616 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.146639 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.146661 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.146684 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
3.146707 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
4.752282 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
4.752373 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
