3.306883 : Timeout waiting for response
3.307065 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.307099 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.307122 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.307144 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.307167 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.307189 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.307212 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
3.307235 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
4.940254 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
4.940333 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
