3.923651 : Timeout waiting for response
3.924213 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.924259 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.924293 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.924327 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.924361 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.924383 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
3.924417 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
3.924440 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
3.924485 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
