0.000807 : Error parsing incoming data: CRC error
0.000941 : x4driver_init: module reponded with XTS_SPR_ERROR error code: 1
4.021316 : Failed to write all bytes to module, expected bytes written: 5, actual bytes written: 0
4.021431 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.021453 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.021474 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.021494 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.021513 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.021532 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.021553 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
4.021571 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
4.021592 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
4.021613 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
