0.001020 : Error parsing incoming data: CRC error
0.001268 : x4driver_init: module reponded with XTS_SPR_ERROR error code: 1
4.021320 : Failed to write all bytes to module, expected bytes written: 5, actual bytes written: 0
4.021439 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.021460 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.021481 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.021500 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.021518 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.021537 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.021556 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
4.021575 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
4.021596 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
4.021617 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
