0.000578 : Error parsing incoming data: CRC error
0.000725 : x4driver_init: module reponded with XTS_SPR_ERROR error code: 1
2.515194 : Failed to write all bytes to module, expected bytes written: 5, actual bytes written: 0
2.515367 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.515430 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.515500 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.515551 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.515596 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.515625 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.515653 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
2.515682 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
2.515710 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
2.515740 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
2.515772 : Failed to write all bytes to module, expected bytes written: 4, actual bytes written: 0
