0.000887 : Error parsing incoming data: CRC error
0.001099 : x4driver_init: module reponded with XTS_SPR_ERROR error code: 1
4.501824 : Failed to write all bytes to module, expected bytes written: 5, actual bytes written: 0
4.501925 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.501948 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.501969 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.501988 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.502007 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.502027 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.502045 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
4.502065 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
4.502085 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
4.502105 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
