0.002991 : Error parsing incoming data: CRC error
0.003774 : x4driver_init: module reponded with XTS_SPR_ERROR error code: 1
0.523798 : Failed to write all bytes to module, expected bytes written: 5, actual bytes written: 0
0.524084 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
0.524232 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
0.524381 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
0.524528 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
0.524666 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
0.524802 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
0.524951 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
0.525100 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
0.525237 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
0.525373 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
