2.000938 : Timeout waiting for response
2.001209 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.002103 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.002131 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.002156 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.002182 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.002206 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.002230 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
2.002254 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
2.002278 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
2.002305 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
