2.001368 : Timeout waiting for response
2.001591 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.001620 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.001641 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.001661 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.001680 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.001699 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.001718 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
2.001738 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
2.001760 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
2.001780 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
