0.000727 : Error parsing incoming data: CRC error
0.044382 : x4driver_init: module reponded with XTS_SPR_ERROR error code: 1
1.680234 : Failed to write all bytes to module, expected bytes written: 5, actual bytes written: 0
1.680292 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
1.680318 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
1.680341 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
1.680364 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
1.680387 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
1.680410 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
1.680432 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
1.680455 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
1.680477 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
1.680500 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
1.680527 : Failed to write all bytes to module, expected bytes written: 4, actual bytes written: 0
