0.001132 : Error parsing incoming data: CRC error
0.001434 : x4driver_init: module reponded with XTS_SPR_ERROR error code: 1
1.528527 : Failed to write all bytes to module, expected bytes written: 5, actual bytes written: 0
1.528610 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
1.528634 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
1.528658 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
1.528679 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
1.528703 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
1.528723 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
1.528742 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
1.528762 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
1.528782 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
1.528802 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
1.528823 : Failed to write all bytes to module, expected bytes written: 4, actual bytes written: 0
