0.001027 : Error parsing incoming data: CRC error
0.001201 : x4driver_init: module reponded with XTS_SPR_ERROR error code: 1
1.839951 : Failed to write all bytes to module, expected bytes written: 5, actual bytes written: 0
1.840053 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
1.840076 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
1.840096 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
1.840117 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
1.840137 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
1.840156 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
1.840177 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
1.840202 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
1.840223 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
1.840244 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
1.840268 : Failed to write all bytes to module, expected bytes written: 4, actual bytes written: 0
