0.002203 : Error parsing incoming data: CRC error
0.002930 : x4driver_init: module reponded with XTS_SPR_ERROR error code: 1
0.523490 : Failed to write all bytes to module, expected bytes written: 5, actual bytes written: 0
0.523718 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
0.523833 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
0.523935 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
0.524128 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
0.524301 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
0.524471 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
0.524644 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
0.524805 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
0.524967 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
0.525118 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
