0.001000 : Error parsing incoming data: CRC error
0.001189 : x4driver_init: module reponded with XTS_SPR_ERROR error code: 1
4.021455 : Failed to write all bytes to module, expected bytes written: 5, actual bytes written: 0
4.084776 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.084852 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.084895 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.084949 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.085002 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.085042 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.085080 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
4.085108 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
4.085158 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
4.085186 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
