2.001362 : Timeout waiting for response
2.001572 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.001606 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.001629 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.001663 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.001697 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.001720 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.001742 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
2.001765 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
2.001788 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
2.001810 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
