2.001984 : Timeout waiting for response
2.002189 : Failed to write all bytes to module, expected bytes written: 4, actual bytes written: 0
6.002432 : Failed to write all bytes to module, expected bytes written: 5, actual bytes written: 0
6.002518 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
6.002553 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
6.002575 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
6.002597 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
6.002620 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
6.002643 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
6.002666 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
6.002688 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
6.002722 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
6.002756 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
