0.000794 : Error parsing incoming data: CRC error
0.001040 : x4driver_init: module reponded with XTS_SPR_ERROR error code: 1
1.431480 : Failed to write all bytes to module, expected bytes written: 5, actual bytes written: 0
1.431536 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
1.431561 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
1.431584 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
1.431606 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
1.431629 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
1.431651 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
1.431673 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
1.431694 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
1.431716 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
1.431739 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
1.431764 : Failed to write all bytes to module, expected bytes written: 4, actual bytes written: 0
